distortion_name,example
All-or-Nothing Thinking,"If I don’t finish my entire to-do list today, then I’ve failed completely."
All-or-Nothing Thinking,"Either I exercise every day, or I’m just lazy and unhealthy."
All-or-Nothing Thinking,"If I make one mistake in my report, the whole thing is worthless."
All-or-Nothing Thinking,"I missed one day of my diet, so now the whole effort is ruined."
All-or-Nothing Thinking,"If my partner doesn’t agree with me 100%, it means they don’t love me."
All-or-Nothing Thinking,"If I don’t finish my entire to-do list today, then I’ve failed completely."
All-or-Nothing Thinking,"Either I exercise every day, or I’m just lazy and unhealthy."
All-or-Nothing Thinking,"If I make one mistake in my report, the whole thing is worthless."
All-or-Nothing Thinking,"I missed one day of my diet, so now the whole effort is ruined."
All-or-Nothing Thinking,"If my partner doesn’t agree with me 100%, it means they don’t love me."
All-or-Nothing Thinking,"If I don’t finish my entire to-do list today, then I’ve failed completely."
All-or-Nothing Thinking,"Either I exercise every day, or I’m just lazy and unhealthy."
All-or-Nothing Thinking,"If I make one mistake in my report, the whole thing is worthless."
All-or-Nothing Thinking,"I missed one day of my diet, so now the whole effort is ruined."
All-or-Nothing Thinking,"If my partner doesn’t agree with me 100%, it means they don’t love me."
All-or-Nothing Thinking,"If I don’t finish my entire to-do list today, then I’ve failed completely."
All-or-Nothing Thinking,"Either I exercise every day, or I’m just lazy and unhealthy."
All-or-Nothing Thinking,"If I make one mistake in my report, the whole thing is worthless."
All-or-Nothing Thinking,"I missed one day of my diet, so now the whole effort is ruined."
All-or-Nothing Thinking,"If my partner doesn’t agree with me 100%, it means they don’t love me."
All-or-Nothing Thinking,"If I don’t finish my entire to-do list today, then I’ve failed completely."
All-or-Nothing Thinking,"Either I exercise every day, or I’m just lazy and unhealthy."
All-or-Nothing Thinking,"If I make one mistake in my report, the whole thing is worthless."
All-or-Nothing Thinking,"I missed one day of my diet, so now the whole effort is ruined."
All-or-Nothing Thinking,"If my partner doesn’t agree with me 100%, it means they don’t love me."
Catastrophizing,I forgot to submit that form—now everything will fall apart.
Catastrophizing,"If I don’t hear back from my doctor today, it must be really bad news."
Catastrophizing,"I was late once, so my boss probably wants to fire me."
Catastrophizing,"If I mess up this presentation, my whole career will be ruined."
Catastrophizing,My partner sounded annoyed—maybe they’re planning to leave me.
Catastrophizing,I forgot to submit that form—now everything will fall apart.
