Distortion,Example
All-or-Nothing Thinking,"I messed up that presentation today, so my whole career is probably doomed."
All-or-Nothing Thinking,"If I can't ace this exam, then there's no point in even trying to pass the course."
All-or-Nothing Thinking,She didn't text me back right away; I guess she completely hates me now.
All-or-Nothing Thinking,"I ate one cookie, so my entire diet is ruined and I might as well give up healthy eating."
All-or-Nothing Thinking,"I missed my workout this morning, which means I've completely failed my fitness goals."
All-or-Nothing Thinking,"My essay isn't perfect, so it's absolutely worthless and I shouldn't turn it in."
All-or-Nothing Thinking,"If I don't get that promotion, I'll never be successful in this company."
All-or-Nothing Thinking,"I made one mistake at work, and now I feel like I'm completely incompetent."
All-or-Nothing Thinking,"He didn't laugh at my joke, so I must be incredibly boring and unfunny."
All-or-Nothing Thinking,"I didn't finish all my tasks today, which means I accomplished nothing productive."
All-or-Nothing Thinking,"My painting isn't exactly how I envisioned it, so it's a total failure."
All-or-Nothing Thinking,"If I'm not constantly busy, I feel like I'm completely unproductive and lazy."
All-or-Nothing Thinking,I stumbled over my words during the meeting; I always embarrass myself like that.
All-or-Nothing Thinking,"My friend didn't invite me to one outing, and now I feel totally excluded from the group."
All-or-Nothing Thinking,"I spent money on something I didn't need, so I'm completely terrible with finances."
All-or-Nothing Thinking,"I had a bad day, so my whole week is probably going to be a disaster."
All-or-Nothing Thinking,"If I don't get straight A's, then all my hard work in school is pointless."
All-or-Nothing Thinking,"I tried to mediate an argument and it didn't work, so I'm obviously useless at conflict resolution."
All-or-Nothing Thinking,"My house isn't perfectly clean, so it's a complete mess and I can't relax here."
All-or-Nothing Thinking,"I didn't meditate for the full 20 minutes, so my entire mindfulness practice is ruined."
All-or-Nothing Thinking,"If I can't make everyone happy, then I'm failing as a friend and family member."
All-or-Nothing Thinking,"I forgot to reply to that email, and now I'm sure I've completely messed up that opportunity."
All-or-Nothing Thinking,One small argument with my partner means our entire relationship is probably falling apart.
All-or-Nothing Thinking,"I didn't manage to read all the pages I planned, so I've failed my personal development goal for the day."
All-or-Nothing Thinking,"Since I wasn't productive first thing this morning, my whole day is probably going to be wasted."
All-or-Nothing Thinking,"If I'm not perfect at this new skill immediately, I should just give up on it."
All-or-Nothing Thinking,"I didn't get a perfect score on the quiz, so I'm clearly not smart enough for this subject."
All-or-Nothing Thinking,"Someone criticized my work, so I must be completely terrible at my job."
All-or-Nothing Thinking,"I had an anxious moment, which proves I'm always going to struggle with my mental health."
All-or-Nothing Thinking,"If I don't impress everyone I meet, then I'm obviously unlikable."
All-or-Nothing Thinking,"I burned the dinner slightly, so I've ruined the whole meal and shouldn't even serve it."
All-or-Nothing Thinking,"I missed one payment deadline, so my credit score is probably destroyed forever."
All-or-Nothing Thinking,"My social media post didn't get many likes, so I guess no one cares what I have to say."
